name,type,zipCode,neighborhood,councilDistrict,policeDistrict
SAVE-A-LOT,Limited Supermarket,21217,Bolton Hill,11,CENTRAL
ALDI,Limited Supermarket,21215,Ashburton,6,NORTHWESTERN
ALDI     (A.K.A. 3000 ATCO AVENUE),Limited Supermarket,21230,Morrell Park,10,SOUTHWESTERN
SAVE A LOT OF FELLS  POINT,Limited Supermarket,21231,Fells Point,1,SOUTHEASTERN
"SAFEWAY, INC.",Full Supermarket,21218,Charles Village,12,NORTHERN
"SANTONI'S, INC.",Small Supermarket,21224,Baltimore Highlands,2,SOUTHEASTERN
SHOPPERS FOOD & PHARMACY # 7567,Full Supermarket,21224,Pulaski Industrial Area,2,SOUTHEASTERN
SAVE-ON-FOOD SUPERMARKET,Limited Supermarket,21225,Brooklyn,10,SOUTHERN
GIANT FOOD STORE # 317,Full Supermarket,21229,Hunting Ridge,8,SOUTHWESTERN
"STOP, SHOP & SAVE",Limited Supermarket,21217,Bridgeview/Greenlawn,7,WESTERN
STOP-SHOP & SAVE,Limited Supermarket,21201,Upton,11,CENTRAL
SAM'S CLUB # 4771,Limited Supermarket,21230,Port Covington,10,SOUTHERN
STOP-SHOP & SAVE,Limited Supermarket,21202,Oliver,12,EASTERN
"ALDI,  INC.",Limited Supermarket,21224,Ellwood Park/Monument,1,SOUTHEASTERN
SAFEWAY   (STORE #1481),Full Supermarket,21224,Canton,1,SOUTHEASTERN
GIANT FOOD STORE #124,Full Supermarket,21211,Hampden,14,NORTHERN
SUPERFRESH,Full Supermarket,21211,Hoes Heights,14,NORTHERN
GIANT FOODS #303,Full Supermarket,21218,Better Waverly,14,NORTHERN
SAVE-A-LOT,Limited Supermarket,21213,Belair-Edison,13,NORTHEASTERN
WHOLE FOODS MARKET,Full Supermarket,21209,Sabina-Mattfeldt,5,NORTHERN
STOP SHOP SAVE FOOD MARKET,Limited Supermarket,21239,Glen Oaks,4,NORTHERN
MARS SUPER MARKETS INC.,Small Supermarket,21239,Loch Raven,4,NORTHEASTERN
"STOP, SHOP & SAVE",Limited Supermarket,21205,Gay Street,12,EASTERN
BAINES STOP SHOP & SAVE #04,Limited Supermarket,21215,Central Park Heights,6,NORTHWESTERN
"SAFEWAY STORES, INC. #1153",Full Supermarket,21223,Washington Village,9,SOUTHERN
GIANT FOOD STORE #145,Full Supermarket,21206,Frankford,2,NORTHEASTERN
BI-RITE,Limited Supermarket,21206,Glenham-Belford,2,NORTHEASTERN
EDDIE'S SUPERMARKET,Small Supermarket,21218,Charles Village,14,NORTHERN
SUPER FRESH FOOD MARKETS #813,Full Supermarket,21223,Millhill,9,SOUTHWESTERN
FOOD KING SUPERMARKET,Small Supermarket,21227,Cherry Hill,10,SOUTHERN
SAVE-A-LOT,Limited Supermarket,21230,Washington Village,11,SOUTHERN
FOOD KING SUPERMARKET,Small Supermarket,21215,Seton Business Park,5,NORTHWESTERN
"STOP, SHOP & SAVE",Limited Supermarket,21215,Mondawmin,7,WESTERN
"STOP, SHOP & SAVE",Limited Supermarket,21216,Mount Holly,7,SOUTHWESTERN
SAVE-A-LOT,Limited Supermarket,21215,Reisterstown Station,5,NORTHWESTERN
SAVE-A-LOT,Limited Supermarket,21218,Charles North,12,NORTHERN
"SAFEWAY, INC. # 1513",Full Supermarket,21214,Beverly Hills,3,NORTHEASTERN
EDDIE'S SUPER MARKET,Small Supermarket,21210,Wyndhurst,6,NORTHERN
SAVE-A-LOT,Limited Supermarket,21218,Hillen,3,NORTHEASTERN
WHOLE FOODS MARKET,Full Supermarket,21202,Inner Harbor,1,SOUTHEASTERN
FOOD KING,Small Supermarket,21239,Loch Raven,4,NORTHEASTERN
GIANT FOOD # 397,Full Supermarket,21215,Reisterstown Station,5,NORTHWESTERN
HIGHLANDTOWN  GROCERY  &  DELI,Small Supermarket,21224,Baltimore Highlands,1,SOUTHEASTERN
SHOPPERS,Full Supermarket,21230,Riverside,10,SOUTHERN
